EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EID,MANAGEMENT_LEVEL,CAPABILITY,PROJECT_NAME,MANAGER_EID,TARGET_CERTIFICATION,1ST_TARGET_CERTIFICATION_DATE,CURRENT_PROGRESS,WITH_VOUCHER?,1ST_TAKE_RESULT,RETAKE_EXAM_DATE,RETAKE_RESULT,EXPIRATION_DATE,Fiscal Year,Month,Quarter
1,Andrew,Goodman,andrew.goodman,12,Data,Yangtze River Port and Logistics ,sheryl.baxter,AWS Certified Cloud Practitioner,12/17/2021,Passed,Yes,Passed,,,12/17/2024,FY22,December,Q2
2,Alvin,Lane,alvin.lane,12,Data,YanGuFang International Group ,preston.lozano,Google - Cloud Digital Leader,1/4/2022,Passed,Yes,Passed,,,1/4/2025,FY22,January,Q2
3,Jenna,Harding,jenna.harding,12,Data,Yangzijiang Financial Holding ,roy.berry,Google - Associate Cloud Engineer,11/29/2023,Passed,Yes,Passed,,,11/29/2026,FY24,November,Q1
4,Fernando,Ford,fernando.ford,12,Data,Yangzijiang Shipbuilding (Holdings) ,linda.olsen,Google - Cloud Digital Leader,1/6/2024,Passed,Yes,Passed,,,1/6/2027,FY24,January,Q2
5,Kara,Woods,kara.woods,12,Data,Yankuang Energy Group Company ,joanna.bender,Google - Cloud Digital Leader,11/30/2023,Passed,Yes,Passed,,,11/30/2026,FY24,November,Q1
6,Marissa,Gamble,marissa.gamble,12,Data,Yankuang Energy Group Company  - Depositary Receipt (Common Stock),aimee.downs,Google - Cloud Digital Leader,11/30/2023,Passed,Yes,Passed,,,11/30/2026,FY24,November,Q1
7,Julie,Cooley,julie.cooley,12,Data,01 Communique Laboratory ,darren.peck,Google - Associate Cloud Engineer,11/20/2023,Passed,Yes,Passed,,,11/20/2026,FY24,November,Q1
8,Lauren,Villa,lauren.villa,12,Data,0187279 BC ,brett.mullen,Google - Associate Cloud Engineer,10/26/2023,Passed,Yes,Passed,,,10/26/2026,FY24,October,Q1
9,Emily,Bryant,emily.bryant,12,Data,1-800-FLOWERSCOM,sheryl.meyers,AWS Certified Cloud Practitioner,12/28/2021,Passed,Yes,Passed,,,12/28/2024,FY22,December,Q2
10,Marie,Estrada,marie.estrada,12,Data,10X Capital Venture Acquisition Corp III,michelle.gallagher,Microsoft - Azure Data Fundamentals,5/20/2022,Passed,Yes,Passed,,,5/20/2025,FY22,May,Q3
